model_id,model_type,scaling,features,n_features,silhouette_score,log_likelihood,window_size,step_size,n_mixtures,n_factors
HierarchicalHMM_2factors_robust_Returns+Range+pct_Range+fg+RSI+pct_RSI_611,HierarchicalHMM,robust,Returns+Range+pct_Range+fg+RSI+pct_RSI,6,0.30863742139712647,-4220.3268821530655,,,,2.0
GMMHMM_none_Range+pct_Range+fg+pct_fg+pct_RSI_114,GMMHMM,none,Range+pct_Range+fg+pct_fg+pct_RSI,5,0.30704994478056447,-11917.100281742754,,,3.0,
StandardHMM_none_Returns+Range+RSI_31,StandardHMM,none,Returns+Range+RSI,3,0.30691592860918143,1719.524132064476,,,,
HierarchicalHMM_2factors_none_Returns+fg+pct_RSI_44,HierarchicalHMM,none,Returns+fg+pct_RSI,3,0.30676714035462394,-4600.21394685681,,,,2.0
GMMHMM_none_Returns+pct_Range+RSI_35,GMMHMM,none,Returns+pct_Range+RSI,3,0.3064692753026887,-6822.869360108772,,,3.0,
StandardHMM_none_Returns+pct_fg+RSI_40,StandardHMM,none,Returns+pct_fg+RSI,3,0.30609223638081723,-2172.09985768307,,,,
HierarchicalHMM_1factors_robust_Returns+pct_Range_321,HierarchicalHMM,robust,Returns+pct_Range,2,0.3059214498519862,-1847.8734700870482,,,,1.0
StandardHMM_none_Range+pct_fg+RSI_50,StandardHMM,none,Range+pct_fg+RSI,3,0.3058944536023929,-2112.737002040543,,,,
GMMHMM_none_Range+fg+pct_fg_47,GMMHMM,none,Range+fg+pct_fg,3,0.3056903785862091,-6710.109791711246,,,3.0,
StandardHMM_none_Returns+Range+fg+pct_fg_67,StandardHMM,none,Returns+Range+fg+pct_fg,4,0.3045846206276371,1775.1572570560743,,,,
StandardHMM_none_Returns+pct_Range+fg_33,StandardHMM,none,Returns+pct_Range+fg,3,0.30409907762349997,-6451.633300010595,,,,
HierarchicalHMM_2factors_robust_Range+pct_Range+RSI_376,HierarchicalHMM,robust,Range+pct_Range+RSI,3,0.30379060409482106,-4783.102950328106,,,,2.0
StandardHMM_none_Returns+Range+pct_Range+pct_fg_64,StandardHMM,none,Returns+Range+pct_Range+pct_fg,4,0.30363963982034253,7910.787650680841,,,,
GMMHMM_none_Range+pct_fg+RSI_50,GMMHMM,none,Range+pct_fg+RSI,3,0.3033531150858019,-7018.820412872485,,,3.0,
